Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/acq_data_fifo_m_axis_tvalid,i_system_wrapper/system_i/acq_l1_data_slice_Dout[15:0],i_system_wrapper/system_i/acq_l5_data_slice_Dout[15:0],i_system_wrapper/system_i/trk_data_fifo_m_axis_tdata[31:0],i_system_wrapper/system_i/trk_data_fifo_m_axis_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
0,0,0,0,fff8,ffff,ffff001b,0
1,1,0,0,fff8,ffff,ffff001b,0
2,2,0,0,fff8,ffff,00000117,1
3,3,0,0,fff8,ffff,00000117,0
4,4,0,0,fff8,ffff,00000117,0
5,5,0,0,fff8,ffff,00000117,0
6,6,0,0,fff8,ffff,00000117,0
7,7,0,0,fff8,ffff,03010014,1
8,8,0,0,fff8,ffff,03010014,0
9,9,0,0,fff8,ffff,03010014,0
10,10,0,0,fff8,ffff,03010014,0
11,11,0,0,fff8,ffff,fe01ff16,1
12,12,0,0,fff8,ffff,fe01ff16,0
13,13,0,0,fff8,ffff,fe01ff16,0
14,14,0,0,fff8,ffff,fe01ff16,0
15,15,0,0,fff8,ffff,fe01ff16,0
16,16,0,0,fff8,ffff,00fe0518,1
17,17,0,0,fff8,ffff,00fe0518,0
18,18,0,0,fff8,ffff,00fe0518,0
19,19,0,0,fff8,ffff,00fe0518,0
20,20,0,1,fff2,0000,ff01ff15,1
21,21,0,0,fff2,0000,ff01ff15,0
22,22,0,0,fff2,0000,ff01ff15,0
23,23,0,0,fff2,0000,ff01ff15,0
24,24,0,0,fff2,0000,ff01ff15,0
25,25,0,0,fff2,0000,ff000318,1
26,26,0,0,fff2,0000,ff000318,0
27,27,0,0,fff2,0000,ff000318,0
28,28,0,0,fff2,0000,ff000318,0
29,29,0,0,fff2,0000,ff000318,0
30,30,0,0,fff2,0000,03fbfe15,1
31,31,0,0,fff2,0000,03fbfe15,0
32,32,0,0,fff2,0000,03fbfe15,0
33,33,0,0,fff2,0000,03fbfe15,0
34,34,0,0,fff2,0000,0204fb18,1
35,35,0,0,fff2,0000,0204fb18,0
36,36,0,0,fff2,0000,0204fb18,0
37,37,0,0,fff2,0000,0204fb18,0
38,38,0,0,fff2,0000,0204fb18,0
39,39,0,0,fff2,0000,fdfefc13,1
40,40,0,0,fff2,0000,fdfefc13,0
41,41,0,0,fff2,0000,fdfefc13,0
42,42,0,0,fff2,0000,fdfefc13,0
43,43,0,0,fff2,0000,fefe0117,1
44,44,0,0,fff2,0000,fefe0117,0
45,45,0,0,fff2,0000,fefe0117,0
46,46,0,0,fff2,0000,fefe0117,0
47,47,0,0,fff2,0000,fefe0117,0
48,48,0,0,fff2,0000,ff00fe16,1
49,49,0,0,fff2,0000,ff00fe16,0
50,50,0,0,fff2,0000,ff00fe16,0
51,51,0,0,fff2,0000,ff00fe16,0
52,52,0,0,fff2,0000,03fefd1a,1
53,53,0,0,fff2,0000,03fefd1a,0
54,54,0,0,fff2,0000,03fefd1a,0
55,55,0,0,fff2,0000,03fefd1a,0
56,56,0,0,fff2,0000,03fefd1a,0
57,57,0,0,fff2,0000,02fefe17,1
58,58,0,0,fff2,0000,02fefe17,0
59,59,0,0,fff2,0000,02fefe17,0
60,60,0,0,fff2,0000,02fefe17,0
61,61,0,0,fff2,0000,02fefe17,0
62,62,0,0,fff2,0000,fe030118,1
63,63,0,0,fff2,0000,fe030118,0
64,64,0,0,fff2,0000,fe030118,0
65,65,0,0,fff2,0000,fe030118,0
66,66,0,0,fff2,0000,02fefd17,1
67,67,0,0,fff2,0000,02fefd17,0
68,68,0,0,fff2,0000,02fefd17,0
69,69,0,0,fff2,0000,02fefd17,0
70,70,0,0,fff2,0000,02fefd17,0
71,71,0,0,fff2,0000,fdff0115,1
72,72,0,0,fff2,0000,fdff0115,0
73,73,0,0,fff2,0000,fdff0115,0
74,74,0,0,fff2,0000,fdff0115,0
75,75,0,0,fff2,0000,fefe0118,1
76,76,0,0,fff2,0000,fefe0118,0
77,77,0,0,fff2,0000,fefe0118,0
78,78,0,0,fff2,0000,fefe0118,0
79,79,0,0,fff2,0000,fefe0118,0
80,80,0,0,fff2,0000,fd0102f6,1
81,81,0,0,fff2,0000,fd0102f6,0
82,82,0,0,fff2,0000,fd0102f6,0
83,83,0,0,fff2,0000,fd0102f6,0
84,84,0,0,fff2,0000,fefff9e7,1
85,85,0,0,fff2,0000,fefff9e7,0
86,86,0,0,fff2,0000,fefff9e7,0
87,87,0,0,fff2,0000,fefff9e7,0
88,88,0,0,fff2,0000,fefff9e7,0
89,89,0,0,fff2,0000,00fefbe9,1
90,90,0,0,fff2,0000,00fefbe9,0
91,91,0,0,fff2,0000,00fefbe9,0
92,92,0,0,fff2,0000,00fefbe9,0
93,93,0,0,fff2,0000,00fefbe9,0
94,94,0,0,fff2,0000,0402fae4,1
95,95,0,0,fff2,0000,0402fae4,0
96,96,0,0,fff2,0000,0402fae4,0
97,97,0,0,fff2,0000,0402fae4,0
98,98,0,0,fff2,0000,000002e7,1
99,99,0,0,fff2,0000,000002e7,0
100,100,0,0,fff2,0000,000002e7,0
101,101,0,0,fff2,0000,000002e7,0
102,102,0,0,fff2,0000,000002e7,0
103,103,0,0,fff2,0000,fe02fce6,1
104,104,0,0,fff2,0000,fe02fce6,0
105,105,0,0,fff2,0000,fe02fce6,0
106,106,0,0,fff2,0000,fe02fce6,0
107,107,0,0,fff2,0000,fe00ffe8,1
108,108,0,0,fff2,0000,fe00ffe8,0
109,109,0,0,fff2,0000,fe00ffe8,0
110,110,0,0,fff2,0000,fe00ffe8,0
111,111,0,0,fff2,0000,fe00ffe8,0
112,112,0,1,ff06,00ff,fc00fde7,1
113,113,0,0,ff06,00ff,fc00fde7,0
114,114,0,0,ff06,00ff,fc00fde7,0
115,115,0,0,ff06,00ff,fc00fde7,0
116,116,0,0,ff06,00ff,fc00fde7,0
117,117,0,0,ff06,00ff,fd0004ea,1
118,118,0,0,ff06,00ff,fd0004ea,0
119,119,0,0,ff06,00ff,fd0004ea,0
120,120,0,0,ff06,00ff,fd0004ea,0
121,121,0,0,ff06,00ff,ffff02eb,1
122,122,0,0,ff06,00ff,ffff02eb,0
123,123,0,0,ff06,00ff,ffff02eb,0
124,124,0,0,ff06,00ff,ffff02eb,0
125,125,0,0,ff06,00ff,ffff02eb,0
126,126,0,0,ff06,00ff,000000e5,1
127,127,0,0,ff06,00ff,000000e5,0
128,128,0,0,ff06,00ff,000000e5,0
129,129,0,0,ff06,00ff,000000e5,0
130,130,0,0,ff06,00ff,0101fae8,1
131,131,0,0,ff06,00ff,0101fae8,0
132,132,0,0,ff06,00ff,0101fae8,0
133,133,0,0,ff06,00ff,0101fae8,0
134,134,0,0,ff06,00ff,0101fae8,0
135,135,0,0,ff06,00ff,ff01ffe8,1
136,136,0,0,ff06,00ff,ff01ffe8,0
137,137,0,0,ff06,00ff,ff01ffe8,0
138,138,0,0,ff06,00ff,ff01ffe8,0
139,139,0,0,ff06,00ff,ff01fbe9,1
