Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/acquisition_axis_0_st_fft_curr[2:0],i_system_wrapper/system_i/acquisition_axis_0_event_frame_started,i_system_wrapper/system_i/acquisition_axis_0_st_fft_next[2:0],i_system_wrapper/system_i/acquisition_axis_0_st_xfft_curr,i_system_wrapper/system_i/acquisition_axis_0_st_xfft_next,i_system_wrapper/system_i/acquisition_axis_0_st_curr[3:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_cntr[16:0],i_system_wrapper/system_i/acquisition_axis_0_config_xfft_valid,i_system_wrapper/system_i/acquisition_axis_0_switch_position,i_system_wrapper/system_i/acquisition_axis_0_config_xfft_data[15:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tvalid,i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tlast,i_system_wrapper/system_i/acquisition_axis_0_xfft_tvalid1,i_system_wrapper/system_i/acquisition_axis_0_second_peak_data[31:0],i_system_wrapper/system_i/acquisition_axis_0_max_peak[15:0],i_system_wrapper/system_i/acquisition_axis_0_max_index[15:0],i_system_wrapper/system_i/acquisition_axis_0_second_peak[31:0],i_system_wrapper/system_i/acquisition_axis_0_max_index_done,i_system_wrapper/system_i/acquisition_axis_0_second_peak_valid,i_system_wrapper/system_i/acquisition_axis_0_second_peak_last,i_system_wrapper/system_i/acquisition_axis_0_xfft_index[15:0],i_system_wrapper/system_i/acquisition_axis_0_xfft_data_out_tdata[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED
0,0,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
1,1,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
2,2,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
3,3,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
4,4,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
5,5,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
6,6,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
7,7,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
8,8,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
9,9,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
10,10,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
11,11,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
12,12,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
13,13,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
14,14,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
15,15,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
16,16,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
17,17,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
18,18,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
19,19,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
20,20,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
21,21,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
22,22,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
23,23,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
24,24,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
25,25,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
26,26,0,1,0,"ST_FFT",1,1,1,00000,1,1,010c,0,0,0,4281079004,0,0,0,0,0,0,0ff0,4281079004
